label,class_name,n_test,correct,accuracy
187,cattle_5717,3,3,1.0
188,cattle_5745,3,3,1.0
189,cattle_5761,2,2,1.0
190,cattle_5762,1,1,1.0
191,cattle_5774,3,3,1.0
192,cattle_5777,2,2,1.0
193,cattle_5781,5,4,0.8
194,cattle_5784,3,3,1.0
195,cattle_5803,3,3,1.0
196,cattle_5804,5,5,1.0
197,cattle_5806,3,3,1.0
198,cattle_5809,5,5,1.0
199,cattle_5815,3,3,1.0
200,cattle_5816,2,2,1.0
201,cattle_5836,4,4,1.0
202,cattle_5844,6,6,1.0
203,cattle_5886,5,5,1.0
204,cattle_5925,1,0,0.0
205,cattle_5932,8,8,1.0
206,cattle_5953,6,6,1.0
207,cattle_5971,9,9,1.0
208,cattle_5986,1,1,1.0
209,cattle_6011,6,6,1.0
210,cattle_6012,4,2,0.5
211,cattle_6017,2,2,1.0
212,cattle_6022,2,2,1.0
213,cattle_6038,4,4,1.0
214,cattle_6066,10,10,1.0
215,cattle_6071,5,5,1.0
216,cattle_6084,7,7,1.0
217,cattle_6098,4,4,1.0
218,cattle_6124,2,2,1.0
219,cattle_6161,4,4,1.0
220,cattle_6167,4,4,1.0
221,cattle_6171,2,2,1.0
222,cattle_6184,3,3,1.0
223,cattle_6189,2,2,1.0
224,cattle_6191,4,4,1.0
225,cattle_6196,3,3,1.0
226,cattle_6197,2,2,1.0
227,cattle_6199,3,3,1.0
228,cattle_6210,2,2,1.0
229,cattle_6213,2,2,1.0
230,cattle_6216,4,4,1.0
231,cattle_6220,2,2,1.0
232,cattle_6226,3,3,1.0
233,cattle_6237,1,1,1.0
234,cattle_6253,2,2,1.0
235,cattle_6266,2,2,1.0
236,cattle_6276,3,3,1.0
237,cattle_6277,2,2,1.0
238,cattle_6278,3,3,1.0
239,cattle_6282,2,2,1.0
240,cattle_6283,1,1,1.0
241,cattle_6287,3,3,1.0
242,cattle_6294,2,2,1.0
243,cattle_6295,2,2,1.0
244,cattle_6313,7,7,1.0
245,cattle_6331,6,6,1.0
246,cattle_6333,11,11,1.0
247,cattle_6442,3,3,1.0
248,cattle_6446,2,2,1.0
249,cattle_6458,2,1,0.5
250,cattle_6479,3,3,1.0
251,cattle_6499,2,2,1.0
252,cattle_6505,3,1,0.3333
253,cattle_6506,4,3,0.75
254,cattle_6530,2,2,1.0
255,cattle_6606,2,2,1.0
256,cattle_8050,1,1,1.0
257,cattle_8094,2,2,1.0
258,cattle_8095,2,2,1.0
259,cattle_9021,2,2,1.0
260,cattle_9029,6,6,1.0
261,cattle_9634,6,6,1.0
262,cattle_9635,2,2,1.0
263,cattle_9736,4,4,1.0
264,cattle_9742,4,3,0.75
265,cattle_9773,2,2,1.0
266,cattle_9798,8,4,0.5
267,cattle_9801,2,2,1.0
