label,class_name,n_test,correct,accuracy
224,cattle_6191,0,0,
225,cattle_6196,0,0,
226,cattle_6197,0,0,
227,cattle_6199,0,0,
228,cattle_6210,0,0,
229,cattle_6213,0,0,
230,cattle_6216,0,0,
231,cattle_6220,1,0,0.0
232,cattle_6226,0,0,
233,cattle_6237,0,0,
234,cattle_6253,0,0,
235,cattle_6266,0,0,
236,cattle_6276,0,0,
237,cattle_6277,0,0,
238,cattle_6278,0,0,
239,cattle_6282,0,0,
240,cattle_6283,0,0,
241,cattle_6287,0,0,
242,cattle_6294,0,0,
243,cattle_6295,0,0,
244,cattle_6313,0,0,
245,cattle_6331,0,0,
246,cattle_6333,0,0,
247,cattle_6442,0,0,
248,cattle_6446,0,0,
249,cattle_6458,0,0,
250,cattle_6479,0,0,
251,cattle_6499,0,0,
252,cattle_6505,0,0,
253,cattle_6506,1,0,0.0
254,cattle_6530,0,0,
255,cattle_6606,1,0,0.0
256,cattle_8050,0,0,
257,cattle_8094,0,0,
258,cattle_8095,0,0,
259,cattle_9021,0,0,
260,cattle_9029,0,0,
261,cattle_9634,0,0,
262,cattle_9635,0,0,
263,cattle_9736,0,0,
264,cattle_9742,0,0,
265,cattle_9773,0,0,
266,cattle_9798,0,0,
267,cattle_9801,0,0,
